scheme,request_id,correct,plaintext_decision,encrypted_decision,encryption_time,decryption_time,total_time,cpu_start,cpu_end,ram_start,ram_end,ciphertext_size,payload_size
CKKS-proposed,0,True,inside,inside,0.004570484161376953,2.384185791015625e-07,0.4641685485839844,6.9,1.1,137.109375,143.68359375,324652,8525687
CKKS-proposed,1,True,inside,inside,0.005101919174194336,7.152557373046875e-07,0.45831990242004395,0.0,0.0,135.5625,144.83984375,324652,8525687
CKKS-proposed,2,True,inside,inside,0.005021572113037109,4.76837158203125e-07,0.45149874687194824,3.6,1.8,136.70703125,143.7890625,324652,8525687
CKKS-proposed,3,True,inside,inside,0.004002094268798828,4.76837158203125e-07,0.46773314476013184,3.7,1.1,135.66015625,144.84375,324652,8525687
CKKS-proposed,4,True,inside,inside,0.004622697830200195,2.384185791015625e-07,0.46111369132995605,2.1,1.8,136.7109375,143.7890625,324652,8525687
CKKS-proposed,5,True,inside,inside,0.004359006881713867,2.384185791015625e-07,0.48283839225769043,1.0,0.9,135.66015625,144.85546875,324652,8525687
CKKS-proposed,6,True,inside,inside,0.004314422607421875,2.384185791015625e-07,0.4455592632293701,0.9,0.0,136.72265625,143.80859375,324652,8525687
CKKS-proposed,7,True,inside,inside,0.004433870315551758,2.384185791015625e-07,0.4972076416015625,0.0,4.4,135.6796875,144.8671875,324652,8525687
CKKS-proposed,8,True,inside,inside,0.004484415054321289,4.76837158203125e-07,0.4539620876312256,0.0,0.0,136.734375,143.8125,324652,8525687
CKKS-proposed,9,True,inside,inside,0.004827022552490234,4.76837158203125e-07,0.47776174545288086,1.0,3.1,135.68359375,144.8671875,324652,8525687
CKKS-optimized,5.686,1.759,0.569,1.0,1.0,1.0,1.0,10,10
CKKS-proposed,0,True,inside,inside,0.005163431167602539,2.384185791015625e-07,0.46377038955688477,0.0,0.0,137.58203125,146.69140625,324404,8525439
CKKS-proposed,1,True,inside,inside,0.006638526916503906,2.384185791015625e-07,0.4878065586090088,4.8,0.0,138.19140625,143.99609375,324404,8525439
CKKS-proposed,2,True,inside,inside,0.005685329437255859,2.384185791015625e-07,0.4634513854980469,0.9,0.0,135.8671875,145.0625,324404,8525439
CKKS-proposed,3,True,inside,inside,0.0041768550872802734,2.384185791015625e-07,0.44352054595947266,1.8,0.0,136.9296875,143.99609375,324404,8525439
