scheme,request_id,correct,plaintext_decision,encrypted_decision,encryption_time,decryption_time,total_time,cpu_start,cpu_end,ram_start,ram_end,ciphertext_size,payload_size
Paillier-baseline,2,True,inside,inside,8.58306884765625e-06,4.76837158203125e-07,3.9711272716522217,0.0,29.7,119.76171875,124.79296875,177,6599
Paillier-baseline,6,True,inside,inside,9.298324584960938e-06,4.76837158203125e-07,4.36659836769104,0.9,17.0,119.86328125,124.77734375,177,6599
Paillier-baseline,4,True,inside,inside,4.5299530029296875e-06,2.384185791015625e-07,4.529392719268799,0.9,25.3,119.859375,124.75,177,6599
Paillier-baseline,0,True,inside,inside,1.7642974853515625e-05,4.76837158203125e-07,4.652994632720947,0.0,23.6,119.73828125,124.71875,177,6599
Paillier-baseline,1,True,inside,inside,4.5299530029296875e-06,4.76837158203125e-07,8.028188228607178,0.0,27.1,119.75390625,124.671875,177,6599
Paillier-baseline,5,True,inside,inside,1.2874603271484375e-05,7.152557373046875e-07,8.20227336883545,1.0,16.5,119.83984375,124.6484375,177,6599
Paillier-baseline,23,True,inside,inside,4.76837158203125e-06,4.76837158203125e-07,8.206110954284668,1.9,20.0,120.25390625,124.6171875,177,6599
Paillier-baseline,8,True,inside,inside,5.7220458984375e-06,7.152557373046875e-07,8.715918779373169,0.9,22.5,119.90234375,124.58203125,177,6599
Paillier-baseline,14,True,inside,inside,7.3909759521484375e-06,0.0,11.93558120727539,0.9,24.2,120.07421875,124.55078125,177,6599
Paillier-baseline,3,True,inside,inside,1.0013580322265625e-05,0.0,12.324864387512207,0.0,23.5,119.796875,124.515625,177,6599
Paillier-baseline,11,True,inside,inside,9.298324584960938e-06,4.76837158203125e-07,12.348858833312988,0.9,26.3,119.9140625,124.48046875,177,6599
Paillier-baseline,24,True,inside,inside,4.76837158203125e-06,2.384185791015625e-07,12.75223994255066,1.9,25.4,120.26953125,124.4453125,177,6599
Paillier-baseline,28,True,inside,inside,7.867813110351562e-06,2.384185791015625e-07,15.898996591567993,1.8,24.2,120.36328125,124.11328125,177,6599
Paillier-baseline,37,True,inside,inside,3.337860107421875e-06,2.384185791015625e-07,16.35736632347107,1.6,27.7,120.6484375,124.078125,177,6599
Paillier-baseline,10,True,inside,inside,9.775161743164062e-06,4.76837158203125e-07,16.820695161819458,0.9,24.1,119.93359375,124.04296875,177,6599
Paillier-baseline,13,True,inside,inside,6.198883056640625e-06,4.76837158203125e-07,16.920710563659668,0.9,26.3,120.16796875,124.0078125,177,6599
Paillier-baseline,31,True,inside,inside,6.198883056640625e-06,4.76837158203125e-07,19.92066764831543,1.8,22.7,120.3828125,123.97265625,177,6599
Paillier-baseline,21,True,inside,inside,8.58306884765625e-06,2.384185791015625e-07,20.083584547042847,1.6,24.2,120.34765625,123.94140625,177,6599
Paillier-baseline,38,True,inside,inside,4.76837158203125e-06,0.0,20.599583387374878,1.8,27.4,120.35546875,123.90625,177,6599
Paillier-baseline,25,True,inside,inside,1.6450881958007812e-05,2.384185791015625e-07,20.7626953125,1.8,25.3,120.40625,123.875,177,6599
Paillier-baseline,15,True,inside,inside,1.0967254638671875e-05,0.0,23.684656143188477,0.9,25.6,120.078125,123.84375,177,6599
Paillier-baseline,39,True,inside,inside,5.0067901611328125e-06,2.384185791015625e-07,24.09682559967041,1.8,25.0,120.51171875,123.8125,177,6599
Paillier-baseline,45,True,inside,inside,1.430511474609375e-05,0.0,24.321242332458496,1.8,25.8,120.5078125,123.77734375,177,6599
Paillier-baseline,69,True,inside,inside,3.337860107421875e-06,2.384185791015625e-07,24.89631485939026,1.8,27.7,120.859375,123.4453125,177,6599
Paillier-baseline,60,True,inside,inside,8.106231689453125e-06,2.384185791015625e-07,28.17672610282898,1.6,31.6,120.93359375,123.41015625,177,6599
